"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4a09ac","BLA1MP  ","Romania","1650613379","1650613379","25.1593","43.9053","4975.86","False","188.18","36.78","-9.43","","5052.06","6451","False","0","1"
"471f82","WZZ2325 ","Hungary","1650613379","1650613379","31.3048","35.5509","11285.22","False","243.12","141.53","0","","11574.78","7220","False","0","1"
"471f86","WZZ3258 ","Hungary","1650613378","1650613378","30.8067","36.5715","10980.42","False","222.33","358.41","0","","11262.36","7212","False","0","1"
"471f67","WZZ107M ","Hungary","1650613372","1650613378","30.9908","38.2915","10363.2","False","228.89","6.58","0","","10622.28","","False","0","4"
"471f35","WZZ3457 ","Hungary","1650613379","1650613379","25.4878","43.2087","10073.64","False","227.19","148.61","0","","10226.04","5575","False","0","0"
"4ba347","TCHZG   ","Turkey","1650613379","1650613379","28.308","39.5903","1958.34","False","78.09","198.43","0","","2065.02","","False","0","8"
"4690e6","AEE991  ","Greece","1650613379","1650613379","28.6115","41.114","2872.74","False","135.29","258.82","19.18","","2895.6","","False","0","0"
"4a08e4","ROT3305 ","Romania","1650613379","1650613379","27.3422","43.5591","9334.5","False","232.32","143.28","7.48","","","","False","0","1"
"4a08ea","ROT7532 ","Romania","1650613378","1650613379","29.1252","40.322","11582.4","False","210.07","328.72","-0.33","","11765.28","","False","0","1"
"4bc84a","PGT352  ","Turkey","1650613373","1650613379","29.1807","40.8513","708.66","False","83.52","64.07","-4.88","","784.86","6016","False","0","0"
"4bc849","PGT2244 ","Turkey","1650613379","1650613379","28.6479","38.1899","9753.6","False","227.38","174.55","0","","10020.3","","False","0","0"
"4bc848","PGT37R  ","Turkey","1650613378","1650613379","26.1508","44.0428","10965.18","False","209.28","322.79","0","","11079.48","6016","False","0","0"
"4bc843","PGT388  ","Turkey","1650613379","1650613379","26.4009","43.7975","9753.6","False","222.83","324.59","0.33","","9898.38","2264","False","0","0"
"4bc844","PGT56P  ","Turkey","1650613379","1650613379","26.39","43.0004","11590.02","False","206.26","314.7","0","","11719.56","1000","False","0","0"
"452086","BGH7702 ","Bulgaria","1650613379","1650613379","28.4881","41.4524","11582.4","False","204.32","303.29","0","","11750.04","","False","0","0"
"3c6427","CFG5ED  ","Germany","1650613158","1650613158","28.089","36.4029","","True","0.45","160.31","","","","4375","False","0","4"
"3c6426","CFG9HY  ","Germany","1650613364","1650613364","27.0906","36.7992","","True","1.8","56.25","","","","0636","False","0","4"
"32b32b","AKNC PT3","Italy","1650613378","1650613378","27.1503","40.8641","4998.72","False","53.96","228.87","1.3","","5044.44","1453","False","0","0"
"abc591","","United States","1650613328","1650613328","34.2617","40.5622","9753.6","False","216.13","271.36","0.65","","","","False","0","1"
"500205","MEA241  ","San Marino","1650613379","1650613379","25.065","36.5901","9753.6","False","215.94","289.77","0","","10050.78","5602","False","0","0"
"89610c","UAE78VR ","United Arab Emirates","1650613377","1650613379","33.6305","41.5838","10980.42","False","212.62","288.48","-0.33","","11132.82","","False","0","1"
"896183","UAE3EL  ","United Arab Emirates","1650613378","1650613378","30.6362","42.2948","12192","False","221.34","286.75","0","","12291.06","","False","0","6"
"896180","UAE7AM  ","United Arab Emirates","1650613379","1650613379","27.6188","35.2367","11582.4","False","228.75","297.89","-0.33","","11856.72","","False","0","6"
"4baad9","THY10M  ","Turkey","1650613374","1650613379","30.1923","39.356","11003.28","False","214.88","333.25","-3.58","","11224.26","","False","0","4"
"4a5653","JOC501  ","Romania","1650613377","1650613378","29.1335","40.123","11590.02","False","205.57","331.45","0","","11742.42","","False","0","1"
"4bb266","THY5XB  ","Turkey","1650613378","1650613378","29.8647","40.4631","8061.96","False","216.16","33.84","-8.13","","8290.56","","False","0","0"
"4bab2f","","Turkey","1650613089","1650613089","34.3439","42.1233","10668","False","255.25","99.75","0","","10789.92","","False","0","0"
"4bab55","THY9MV  ","Turkey","1650612768","1650613374","32.0428","40.2804","4876.8","False","184.89","112.93","-8.45","","5090.16","","False","0","0"
"4bab4b","THY9ED  ","Turkey","1650613379","1650613379","26.2072","42.3804","10965.18","False","199.76","292.4","0.33","","11125.2","2323","False","0","0"
"140ad9","RA02777 ","Russian Federation","1650613379","1650613379","32.0836","41.9622","11582.4","False","193.96","287.28","0","","11742.42","","False","0","0"
"4bb27a","THY5VD  ","Turkey","1650613379","1650613379","25.7827","42.5126","10363.2","False","203.49","292.29","0","","10538.46","7341","False","0","0"
"490d09","","Portugal","1650613270","1650613270","26.0971","44.5759","","True","5.66","264.38","","","","","False","0","0"
"4bb268","THY24TH ","Turkey","1650613223","1650613307","28.7035","41.4593","883.92","False","81.3","178.91","-4.23","","952.5","4335","False","0","0"
"4bb274","THY6JG  ","Turkey","1650613379","1650613379","30.8538","35.382","10355.58","False","226.5","357.92","0","","10645.14","1146","False","0","0"
"4bb270","THY263  ","Turkey","1650613378","1650613378","29.5836","41.8465","3581.4","False","122.96","269.52","-6.83","","3703.32","","False","0","0"
"4bb288","THY8LR  ","Turkey","1650613375","1650613375","29.4597","41.7789","3017.52","False","136.51","189.11","0","","3124.2","","False","0","0"
