"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"488209","SPARK   ","Poland","1654025307","1654025307","28.6207","41.5461","3810","False","159.91","334.26","17.56","","3954.78","","False","0","0"
"505f15","CAI7RY  ","Slovakia","1654025307","1654025307","25.1287","41.1005","11277.6","False","233.58","136.07","-0.33","","11628.12","7652","False","0","2"
"471f2e","WZZ2812 ","Hungary","1654025306","1654025306","28.2112","36.204","10363.2","False","227.5","322.53","0","","10744.2","4142","False","0","0"
"4bc84c","PGT740  ","Turkey","1654025307","1654025307","31.6858","40.3047","9928.86","False","242.17","102.26","6.18","","10271.76","","False","0","0"
"4bc849","PGT62R  ","Turkey","1654025307","1654025307","29.7278","40.2575","4511.04","False","161.06","274.76","-7.15","","4739.64","","False","0","0"
"73806c","","Israel","1654025285","1654025285","26.1191","44.5776","","True","12.86","84.38","","","","","False","0","1"
"738054","ELY552  ","Israel","1654025307","1654025307","28.4929","38.6752","10668","False","232.52","130.24","0","","11041.38","5557","False","0","1"
"89618f","UAE79Y  ","United Arab Emirates","1654025307","1654025307","26.8811","43.6318","11887.2","False","257.19","121.34","-0.33","","12199.62","7325","False","0","6"
"aa3086","CMB527  ","United States","1654025307","1654025307","28.9044","35.7314","11887.2","False","258.42","136.94","0","","12260.58","7435","False","0","0"
"49524a","EXS85BH ","Portugal","1654025306","1654025307","28.2448","37.8837","10058.4","False","238.87","113.75","0","","10439.4","2201","False","0","1"
"4bb1e6","THY8MG  ","Turkey","1654025307","1654025307","27.2895","41.7236","7383.78","False","211.62","124.5","-7.8","","7711.44","4641","False","0","1"
"4bb1e7","THY3UF  ","Turkey","1654025307","1654025307","28.5649","40.9911","1013.46","False","120.69","121.05","-3.9","","1112.52","1274","False","0","1"
"4baac9","THY5MA  ","Turkey","1654025304","1654025306","28.7083","41.2204","350.52","False","74.6","359.21","-3.25","","419.1","1223","False","0","0"
"4baac5","THY58BM ","Turkey","1654025308","1654025308","25.751","41.9962","10668","False","215.09","91.23","0","","11018.52","4170","False","0","1"
"4baad2","THY7JP  ","Turkey","1654025306","1654025307","28.664","41.382","1356.36","False","142.91","265.66","15.28","","1455.42","","False","0","1"
"4bb1c4","THY82F  ","Turkey","1654025072","1654025085","28.7083","41.2202","342.9","False","71","359.17","-3.58","","411.48","4737","False","0","1"
"4baacc","THY9AW  ","Turkey","1654025307","1654025307","28.1014","41.2941","3634.74","False","144.57","179.18","0","","3817.62","2666","False","0","1"
"4892c1","ENT5014 ","Poland","1654025307","1654025307","27.8546","36.7642","10972.8","False","236.16","336.51","0","","11346.18","","False","0","0"
"4baaca","THY2TG  ","Turkey","1654025307","1654025307","28.7771","40.976","1402.08","False","111.94","346.99","-4.88","","1508.76","7362","False","0","1"
"4bb1c3","THY7BE  ","Turkey","1654025307","1654025307","28.3956","41.0527","1463.04","False","118.48","116.57","-3.25","","1577.34","7663","False","0","1"
"151d46","AZV8882 ","Russian Federation","1654025308","1654025308","33.1876","40.2705","10668","False","240.3","65.19","0.33","","11018.52","","False","0","0"
"4bb325","THY3090 ","Turkey","1654025307","1654025307","28.8394","43.2743","10363.2","False","224.46","350.24","0","","10690.86","6330","False","0","0"
"440bc4","BCS961  ","Austria","1654025307","1654025307","26.9946","42.5559","10972.8","False","225.17","315.09","0","","11315.7","7220","False","0","0"
"4bab4f","THY8AT  ","Turkey","1654025306","1654025306","27.3007","39.9398","6217.92","False","192.17","5.22","15.61","","6461.76","","False","0","0"
"4bb266","THY2SA  ","Turkey","1654025307","1654025307","25.0765","42.4024","10050.78","False","228.08","108.27","0","","10401.3","3447","False","0","0"
"4bb261","THY2JK  ","Turkey","1654025307","1654025307","29.1581","40.9902","2560.32","False","136.42","235.29","-2.6","","2697.48","7443","False","0","0"
"4bab2c","THY8EM  ","Turkey","1654025301","1654025303","31.4835","40.3384","10668","False","237.32","102.14","0","","11049","","False","0","1"
"4bb27a","THY17R  ","Turkey","1654025307","1654025307","29.212","41.8407","5859.78","False","200.62","63.17","9.1","","6111.24","","False","0","0"
"4bb28b","THY2EP  ","Turkey","1654025308","1654025308","25.7211","38.9159","9448.8","False","208.49","55.25","0","","9814.56","5513","False","0","0"
"44cdce","BEL4KZ  ","Belgium","1654025307","1654025307","27.9609","44.1665","10652.76","False","232.88","125.83","0","","10965.18","0106","False","0","0"
"4bb268","THY8YR  ","Turkey","1654025307","1654025307","28.2233","42.7191","9006.84","False","228.49","147.6","-7.48","","9334.5","1760","False","0","0"
"4bb270","THY4CK  ","Turkey","1654025308","1654025308","28.2997","41.0941","2438.4","False","135.41","150.9","-6.83","","2598.42","1760","False","0","0"
"4bb26f","THY79M  ","Turkey","1654025307","1654025307","28.3946","42.3405","5699.76","False","199.83","133.02","-6.83","","5989.32","7601","False","0","0"
"4bb26d","THY372  ","Turkey","1654025307","1654025307","31.4148","42.0838","9753.6","False","235.81","74.17","0","","10104.12","","False","0","0"
"4066ce","TOM81Y  ","United Kingdom","1654025306","1654025307","26.0977","37.1536","6096","False","208.89","124.16","-12.35","","6393.18","2153","False","0","1"
"4bb285","THY9CY  ","Turkey","1654025303","1654025305","28.711","41.0739","891.54","False","92.61","359.05","0.65","","975.36","0450","False","0","0"
"731a32","QSM2272 ","Islamic Republic of Iran","1654025259","1654025295","44.693","41.5748","4503.42","False","154.59","166.33","6.83","","4754.88","","False","0","1"
"4baac2","THY6AB  ","Turkey","1654025306","1654025306","27.6901","40.9061","3352.8","False","143.17","92.68","-7.15","","3535.68","6420","False","0","1"
"3c5aae","AHO860U ","Germany","1654025306","1654025306","31.4187","42.6534","12496.8","False","236.6","98.38","0.33","","12870.18","0424","False","0","3"
